date,pe_ttm,dividend_yield_ttm,erp,pe_ttm_mean,pe_ttm_std,pe_ttm_pctile,erp_mean,erp_std,erp_pctile,cn10y
2024-03-28,8.4293,4.3378,9.5608,10.430301409978307,1.8181712430759658,6.977584960231381,6.586792899982481,1.6738638237019638,95.47445255474453,2.3026
2024-04-02,8.7008,4.2437,9.2005,10.429676364293458,1.8181398712987256,10.625225876400433,6.5877464596687325,1.6743026392279314,93.54250273622765,2.2927
2024-04-03,8.6204,4.3319,9.3167,10.429022723988439,1.8181365594716794,9.320809248554914,6.5887417016601,1.6748080350662309,94.38366156090446,2.2837
2024-04-05,8.6018,4.3001,9.3418,10.42836283856988,1.8181397293053316,9.100758396533044,6.589745368557054,1.6753272826656813,94.4586219467736,
2024-04-08,8.6157,4.3033,9.3245,10.42770844765343,1.8181376373000195,9.314079422382672,6.590741999253643,1.6758350734763816,94.35131195335276,2.2822
2024-04-09,8.653,4.2806,9.2765,10.427067989895345,1.8181220388640202,9.852038975099243,6.591720417468851,1.6763134926834045,94.13479052823315,2.2802
2024-04-10,8.8144,4.202,9.0479,10.426486219336219,1.818052014587755,13.311688311688311,6.592614874709395,1.6766632807087656,92.60742898761836,2.2972
2024-04-11,8.793,4.2145,9.0799,10.425897151099893,1.8179887383285178,12.838081500180309,6.593520329796869,1.6770294246486064,92.70112850382235,2.2928
2024-04-12,8.6239,4.3027,9.312,10.425247548666185,1.81798288280433,9.48089401586157,6.594509587318776,1.6775257207167469,94.26855895196506,2.2837
2024-04-15,8.5871,4.3368,9.3656,10.424585153153153,1.8179900689614965,9.00900900900901,6.595517623118224,1.6780528022810453,94.68897781011277,2.2798
2024-04-16,8.4404,4.4252,9.5755,10.423870389048991,1.818052532425223,7.132564841498559,6.5966012530734535,1.6787094095254034,95.52727272727273,2.2723
2024-04-17,8.4411,4.4264,9.586,10.423156391789702,1.818114393215223,7.166006481814908,6.597687912014539,1.6793713642813095,95.5288985823337,2.2608
2024-04-18,8.5126,4.3952,9.4936,10.42246864650828,1.818148385247258,8.279337652987762,6.598740205651162,1.6799730973113771,95.1671511627907,2.2537
2024-04-19,8.4679,4.4281,9.5553,10.421765311263044,1.8181991798545067,7.5566750629722925,6.599814146731565,1.6806125220678945,95.38685070831819,2.254
2024-04-22,8.5697,4.3428,9.4255,10.421099100719426,1.8182113532742676,8.992805755395683,6.600840176453159,1.681169548327178,94.91648511256355,2.2435
2024-04-23,8.697,4.2664,9.2722,10.420479144192736,1.8181782819491548,10.931319669183747,6.601809817042468,1.6816344660612224,93.82940108892922,2.226
